id,source_id,target_id
85a533a4-5fa4-4dba-b45d-f0717bedd6e64523e7f3-8de2-4078-96f8-1227eb537159,x-mitre-data-component--85a533a4-5fa4-4dba-b45d-f0717bedd6e6,x-mitre-data-source--4523e7f3-8de2-4078-96f8-1227eb537159
9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa40269753-26bd-437b-986e-159c66dec5e4,x-mitre-data-component--9c2fa0ae-7abc-485a-97f6-699e3b6cf9fa,x-mitre-data-source--40269753-26bd-437b-986e-159c66dec5e4
3772e279-27d6-477a-9fe3-c6beb363594cc000cd5c-bbb3-4606-af6f-6c6d9de0bbe3,x-mitre-data-component--3772e279-27d6-477a-9fe3-c6beb363594c,x-mitre-data-source--c000cd5c-bbb3-4606-af6f-6c6d9de0bbe3
a7f22107-02e5-4982-9067-6625d4a1765ac000cd5c-bbb3-4606-af6f-6c6d9de0bbe3,x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,x-mitre-data-source--c000cd5c-bbb3-4606-af6f-6c6d9de0bbe3
f42df6f0-6395-4f0c-9376-525a031f00c3c9ddfb51-eb45-4e22-b614-44ac1caa7883,x-mitre-data-component--f42df6f0-6395-4f0c-9376-525a031f00c3,x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883
685f917a-e95e-4ba0-ade1-c7d354dae6e073691708-ffb5-4e29-906d-f485f6fa7089,x-mitre-data-component--685f917a-e95e-4ba0-ade1-c7d354dae6e0,x-mitre-data-source--73691708-ffb5-4e29-906d-f485f6fa7089
3d20385b-24ef-40e1-9f56-f39750379077e8b8ede7-337b-4c0c-8c32-5c7872c1ee22,x-mitre-data-component--3d20385b-24ef-40e1-9f56-f39750379077,x-mitre-data-source--e8b8ede7-337b-4c0c-8c32-5c7872c1ee22
84572de3-9583-4c73-aabd-06ea88123dd8509ed41e-ca42-461e-9058-24602256daf9,x-mitre-data-component--84572de3-9583-4c73-aabd-06ea88123dd8,x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9
235b7491-2d2b-4617-9a52-3c0783680f71509ed41e-ca42-461e-9058-24602256daf9,x-mitre-data-component--235b7491-2d2b-4617-9a52-3c0783680f71,x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9
a953ca55-921a-44f7-9b8d-3d40141aa17e0b4f86ed-f4ab-46a3-8ed1-175be1974da6,x-mitre-data-component--a953ca55-921a-44f7-9b8d-3d40141aa17e,x-mitre-data-source--0b4f86ed-f4ab-46a3-8ed1-175be1974da6
b008766d-f34f-4ded-b712-659f59aaed6e1ac0ca69-e07e-4b34-9061-e4588e146c52,x-mitre-data-component--b008766d-f34f-4ded-b712-659f59aaed6e,x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52
181a9f8c-c780-4f1f-91a8-edb770e904bac000cd5c-bbb3-4606-af6f-6c6d9de0bbe3,x-mitre-data-component--181a9f8c-c780-4f1f-91a8-edb770e904ba,x-mitre-data-source--c000cd5c-bbb3-4606-af6f-6c6d9de0bbe3
e905dad2-00d6-477c-97e8-800427abd0e8509ed41e-ca42-461e-9058-24602256daf9,x-mitre-data-component--e905dad2-00d6-477c-97e8-800427abd0e8,x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9
9bde2f9d-a695-4344-bfac-f2dce13d121ee8b8ede7-337b-4c0c-8c32-5c7872c1ee22,x-mitre-data-component--9bde2f9d-a695-4344-bfac-f2dce13d121e,x-mitre-data-source--e8b8ede7-337b-4c0c-8c32-5c7872c1ee22
39b9db72-8b48-4595-a18d-db5bbba3091b4358c631-e253-4557-86df-f687d0ef9891,x-mitre-data-component--39b9db72-8b48-4595-a18d-db5bbba3091b,x-mitre-data-source--4358c631-e253-4557-86df-f687d0ef9891
9ce98c86-8d30-4043-ba54-0784d478d0b54358c631-e253-4557-86df-f687d0ef9891,x-mitre-data-component--9ce98c86-8d30-4043-ba54-0784d478d0b5,x-mitre-data-source--4358c631-e253-4557-86df-f687d0ef9891
8e44412e-3238-4d64-8878-4f11e27784fe3c07684f-3794-4536-8f70-21efe700c0ec,x-mitre-data-component--8e44412e-3238-4d64-8878-4f11e27784fe,x-mitre-data-source--3c07684f-3794-4536-8f70-21efe700c0ec
8d8c7cac-94cf-4726-8989-cab33851168c3c07684f-3794-4536-8f70-21efe700c0ec,x-mitre-data-component--8d8c7cac-94cf-4726-8989-cab33851168c,x-mitre-data-source--3c07684f-3794-4536-8f70-21efe700c0ec
a5ae90ca-0c4b-481c-959f-0eb18a7ff953072ec5a7-00ba-466f-9057-69751a22a967,x-mitre-data-component--a5ae90ca-0c4b-481c-959f-0eb18a7ff953,x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967
2b3bfe19-d59a-460d-93bb-2f546adc2d2c509ed41e-ca42-461e-9058-24602256daf9,x-mitre-data-component--2b3bfe19-d59a-460d-93bb-2f546adc2d2c,x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9
fafaa705-ec08-4405-ac62-288c252e520dc3af32ff-65c5-4ea8-912a-fb4a85197239,x-mitre-data-component--fafaa705-ec08-4405-ac62-288c252e520d,x-mitre-data-source--c3af32ff-65c5-4ea8-912a-fb4a85197239
91b3ed33-d1b5-4c4b-a896-76c55eb3cfd8072ec5a7-00ba-466f-9057-69751a22a967,x-mitre-data-component--91b3ed33-d1b5-4c4b-a896-76c55eb3cfd8,x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967
df508a43-65f5-453f-8b8f-4b5d64e60a21072ec5a7-00ba-466f-9057-69751a22a967,x-mitre-data-component--df508a43-65f5-453f-8b8f-4b5d64e60a21,x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967
07688e40-a7fa-4436-937f-1216674341a006bb1e05-533b-4de3-ae87-9b99910465cf,x-mitre-data-component--07688e40-a7fa-4436-937f-1216674341a0,x-mitre-data-source--06bb1e05-533b-4de3-ae87-9b99910465cf
c0edd522-0aef-46b3-8efa-2bd334ce424206bb1e05-533b-4de3-ae87-9b99910465cf,x-mitre-data-component--c0edd522-0aef-46b3-8efa-2bd334ce4242,x-mitre-data-source--06bb1e05-533b-4de3-ae87-9b99910465cf
ed0dd8aa-1677-4551-bb7d-8da767617e1b0f42a24c-e035-4f93-a91c-5f7076bd8da0,x-mitre-data-component--ed0dd8aa-1677-4551-bb7d-8da767617e1b,x-mitre-data-source--0f42a24c-e035-4f93-a91c-5f7076bd8da0
5fe82895-28e5-4aac-845e-dc886b63be2e072ec5a7-00ba-466f-9057-69751a22a967,x-mitre-data-component--5fe82895-28e5-4aac-845e-dc886b63be2e,x-mitre-data-source--072ec5a7-00ba-466f-9057-69751a22a967
5263cb33-08cc-4a68-820f-004e1e400d7606bb1e05-533b-4de3-ae87-9b99910465cf,x-mitre-data-component--5263cb33-08cc-4a68-820f-004e1e400d76,x-mitre-data-source--06bb1e05-533b-4de3-ae87-9b99910465cf
672b2ebd-4310-4efe-bf03-7ab005298a7406bb1e05-533b-4de3-ae87-9b99910465cf,x-mitre-data-component--672b2ebd-4310-4efe-bf03-7ab005298a74,x-mitre-data-source--06bb1e05-533b-4de3-ae87-9b99910465cf
e52d89f9-1710-4708-88a5-cbef77c4cd5eb1ddede4-cafe-4955-ac4c-14b33ac3f647,x-mitre-data-component--e52d89f9-1710-4708-88a5-cbef77c4cd5e,x-mitre-data-source--b1ddede4-cafe-4955-ac4c-14b33ac3f647
ec0612c5-2644-4c50-bcac-82586974feddb1ddede4-cafe-4955-ac4c-14b33ac3f647,x-mitre-data-component--ec0612c5-2644-4c50-bcac-82586974fedd,x-mitre-data-source--b1ddede4-cafe-4955-ac4c-14b33ac3f647
9f387817-df83-432a-b56b-a8fb7f71eedd12c1e727-7fa4-49b6-af81-366ed2ce231e,x-mitre-data-component--9f387817-df83-432a-b56b-a8fb7f71eedd,x-mitre-data-source--12c1e727-7fa4-49b6-af81-366ed2ce231e
7f70fae7-a68d-4730-a83a-f260b96061290f42a24c-e035-4f93-a91c-5f7076bd8da0,x-mitre-data-component--7f70fae7-a68d-4730-a83a-f260b9606129,x-mitre-data-source--0f42a24c-e035-4f93-a91c-5f7076bd8da0
d2ff4b56-8351-4ed8-b0fb-d8605366005ff2f4f4bd-3455-400f-b2ee-104004df0f5b,x-mitre-data-component--d2ff4b56-8351-4ed8-b0fb-d8605366005f,x-mitre-data-source--f2f4f4bd-3455-400f-b2ee-104004df0f5b
c97d0171-f6e0-4415-85ff-4082fdb8c72af2f4f4bd-3455-400f-b2ee-104004df0f5b,x-mitre-data-component--c97d0171-f6e0-4415-85ff-4082fdb8c72a,x-mitre-data-source--f2f4f4bd-3455-400f-b2ee-104004df0f5b
da85d358-741a-410d-9433-20d6269a61700f42a24c-e035-4f93-a91c-5f7076bd8da0,x-mitre-data-component--da85d358-741a-410d-9433-20d6269a6170,x-mitre-data-source--0f42a24c-e035-4f93-a91c-5f7076bd8da0
61f1d40e-f3d0-4cc6-aa2d-937b6204194fe8b8ede7-337b-4c0c-8c32-5c7872c1ee22,x-mitre-data-component--61f1d40e-f3d0-4cc6-aa2d-937b6204194f,x-mitre-data-source--e8b8ede7-337b-4c0c-8c32-5c7872c1ee22
1177a4c5-31c8-400c-8544-9071166afa0e0f42a24c-e035-4f93-a91c-5f7076bd8da0,x-mitre-data-component--1177a4c5-31c8-400c-8544-9071166afa0e,x-mitre-data-source--0f42a24c-e035-4f93-a91c-5f7076bd8da0
74fa567d-bc90-425c-8a41-3c703abb221cd710099e-df94-4be4-bf85-cabd30e912bb,x-mitre-data-component--74fa567d-bc90-425c-8a41-3c703abb221c,x-mitre-data-source--d710099e-df94-4be4-bf85-cabd30e912bb
639e87f3-acb6-448a-9645-258f20da4bc5509ed41e-ca42-461e-9058-24602256daf9,x-mitre-data-component--639e87f3-acb6-448a-9645-258f20da4bc5,x-mitre-data-source--509ed41e-ca42-461e-9058-24602256daf9
ee575f4a-2d4f-48f6-b18b-89067760adc1e8b8ede7-337b-4c0c-8c32-5c7872c1ee22,x-mitre-data-component--ee575f4a-2d4f-48f6-b18b-89067760adc1,x-mitre-data-source--e8b8ede7-337b-4c0c-8c32-5c7872c1ee22
3551476e-14f5-4e48-a518-e82135329e039ec8c0d7-6137-456f-b829-c5f8b96ba054,x-mitre-data-component--3551476e-14f5-4e48-a518-e82135329e03,x-mitre-data-source--9ec8c0d7-6137-456f-b829-c5f8b96ba054
071a09b1-8945-46fd-8bb7-6bcc894009631ac0ca69-e07e-4b34-9061-e4588e146c52,x-mitre-data-component--071a09b1-8945-46fd-8bb7-6bcc89400963,x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52
b5b0e8ae-7436-4951-950a-7b83c4dd3f2c45232bc0-e858-440d-aa93-d48c6cf167f0,x-mitre-data-component--b5b0e8ae-7436-4951-950a-7b83c4dd3f2c,x-mitre-data-source--45232bc0-e858-440d-aa93-d48c6cf167f0
f8213cde-6b3a-420d-9ab7-41c9af1a919f45232bc0-e858-440d-aa93-d48c6cf167f0,x-mitre-data-component--f8213cde-6b3a-420d-9ab7-41c9af1a919f,x-mitre-data-source--45232bc0-e858-440d-aa93-d48c6cf167f0
5297a638-1382-4f0c-8472-0d21830bf705d710099e-df94-4be4-bf85-cabd30e912bb,x-mitre-data-component--5297a638-1382-4f0c-8472-0d21830bf705,x-mitre-data-source--d710099e-df94-4be4-bf85-cabd30e912bb
7b375092-3a61-448d-900a-77c9a4bde4dcc9ddfb51-eb45-4e22-b614-44ac1caa7883,x-mitre-data-component--7b375092-3a61-448d-900a-77c9a4bde4dc,x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883
faa34cf6-cf32-4dc9-bd6a-8f7a606ff65bc9ddfb51-eb45-4e22-b614-44ac1caa7883,x-mitre-data-component--faa34cf6-cf32-4dc9-bd6a-8f7a606ff65b,x-mitre-data-source--c9ddfb51-eb45-4e22-b614-44ac1caa7883
b597a220-6510-4397-b0d8-342cd2c588271ac0ca69-e07e-4b34-9061-e4588e146c52,x-mitre-data-component--b597a220-6510-4397-b0d8-342cd2c58827,x-mitre-data-source--1ac0ca69-e07e-4b34-9061-e4588e146c52
8c826308-2760-492f-9e36-4f0f7e23bcacb1ddede4-cafe-4955-ac4c-14b33ac3f647,x-mitre-data-component--8c826308-2760-492f-9e36-4f0f7e23bcac,x-mitre-data-source--b1ddede4-cafe-4955-ac4c-14b33ac3f647
