"kmeasure_id","m_tactic_name","m_tactic_id","ktech_name","kobs_name","kobs_id","ktech_id","depl_req","integration","k_measure_desc","k_measure_name","k_measure_val"
"mact-9a9885eb-589d-4836-8902-a2266e628652",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of Network Policy config update","Network config update activity",0.001
"mact-dc51150a-26a4-4749-b9b1-3acfd5f305ec",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of ConfigMap config update","ConfigMap config update activity",0.001
"mact-b3eeabf0-0810-4f8d-bea8-3f9ef27aa79b",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of Cluster Role definition, binding updates, focusing on --get secrets--, --list secrets--,-- create pods/exec cluster-- permissions","Privilege escalation",0.001
"mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of RBAC config and resource updates  (e.g. cluster role binding creation) ","RBAC config update activity",0.01
"mact-02528e65-c88d-4434-80ff-99d3b326e001",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jitter in the] AGGR(IRATE of network package + bytes received,  transmitted, dropped) i.e. connectivity halt across kube-system namespace via cAdvisor","Connectivity jitter container scope",0.025
"mact-26b34fef-27d0-4145-a138-15c4d63f03a2",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jitter in the] AGGR(IRATE of http request, client rest request) i.e. connectivity halt across kube-system namespace via kubelet-metrics","Connectivity jitter kubelet scope",0.02
"mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jump in the] AGGR(RATE  of http request, client rest request durations) i.e. latency across kube-system namespace via kubelet-metrics","Connectivity latency kubelet scope",0.02
"mact-7b411daa-2993-46f7-9883-88ed9410a66c",NULL,NULL,NULL,"global_obstate","obglobal-27dba82a-af0c-4af9-ac79-a8097e6c8e9k",NULL,"DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jump in the] AGGR(RATE of received/transmitted package drops) i.e. latency across kube-system namespace via cAdvisor","Connectivity latency container scope",0.1
"mact-3ee44709-485e-4daa-9824-87de6ffa2689","Discovery","TA0007","Access the Kubernetes API server","target_access_the_kubernetes_api_server","obf-0c7a8541-1cf9-4cce-85d8-5824104289cf","ktech-0c7a8541-1cf9-4cce-85d8-5824104289cf","DEFAULT","Kubernetes Metric (OSS Scope)","[Jump in the]  AGGR(RATE of container activity + RATE of request errors)","Container network activity with request errors ",0.2
"mact-fd508d29-eeaa-44c4-a7c3-f73bb807e511","Execution","TA0002","*Sidecar injection","target_sidecar_injection","obf-4e32dea8-742d-474f-bf43-bbfce4656239","ktech-4e32dea8-742d-474f-bf43-bbfce4656239","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of POD patch event for manual injection of a profiled container","Side-car injection activity",0.1
"mact-303d373a-d781-41bb-9e96-28afa7d46996","Execution","TA0002","SSH server running inside container","target_ssh_server_running_inside_container","obf-d7f52f90-7169-41fa-97e3-31f1488aa7da","ktech-d7f52f90-7169-41fa-97e3-31f1488aa7da","DEFAULT","Custom Metric","[Jump in the] RATE of container activity with SSH port exposed + supplementary profiling of containers with SSH exposure","SSH port exposure activity",0.01
"mact-3cfe4f2c-7d3b-4988-8bcd-b08b28c96e4e","Execution","TA0002","Application exploit","target_application_exploit","obf-de76a07a-0935-4cea-9755-089a2da00020","ktech-de76a07a-0935-4cea-9755-089a2da00020","ENABLE kube-apiserver audit logging","Custom Metric","[Jump in the]  AGGR(RATE of container activity + RATE of request errors) profiling known audited attacker attributes (e.g. increased rate of curl, wget, html guessing requests, net scanners/mappers, source IPs)","Profiled audit logging activity",0.01
"mact-46f81f2e-f12d-490d-8779-6fd54ceb1544","Execution","TA0002","Application exploit","target_application_exploit","obf-de76a07a-0935-4cea-9755-089a2da00020","ktech-de76a07a-0935-4cea-9755-089a2da00020","ENABLE  Vulnerabilities(CVE)","Custom Metric","[Jump in the]  AGGR(RATE of container activity + RATE of request errors) profiling known container vulnerabilities (e.g.  ElasticSearch vulnerability)","Container network activity with request errors for known vulnerabilities ",0.01
"mact-3ee44709-485e-4daa-9824-87de6ffa2689","Execution","TA0002","Application exploit","target_application_exploit","obf-de76a07a-0935-4cea-9755-089a2da00020","ktech-de76a07a-0935-4cea-9755-089a2da00020","DEFAULT","Kubernetes Metric (OSS Scope)","[Jump in the]  AGGR(RATE of container activity + RATE of request errors)","Container network activity with request errors ",0.2
"mact-00a371b8-7af7-422c-bc7a-0e5cb72fbbbc","Execution","TA0002","New container","target_new_container","obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","ktech-cce83cd7-20ee-4a03-b731-51df2c399b4c","DEFAULT","Custom Metric","Non-0 COUNT or [Jump in the] RATE of standalone (non-controller driven) POD creation","Non-controller pod* create activity",0.1
"mact-e364eb43-996a-4077-ad96-2bfe36dfc69c","Execution","TA0002","New container","target_new_container","obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","ktech-cce83cd7-20ee-4a03-b731-51df2c399b4c","ENABLE kube-apiserver audit logging","Custom Metric","Non-0 COUNT or [Jump in the] RATE of POD creation with bash capabilities + supplementary audit profiling ","Pod bash(container) create activity",0.1
"mact-61c5b251-7b38-4793-aecb-e6e470d7ef9a","Privilege Escalation","TA0004","Privileged container","target_privileged_container","obf-c902f00f-97fd-45c0-8753-dace2c608168","ktech-c902f00f-97fd-45c0-8753-dace2c608168","DEFAULT","Custom Metric","[Jump in the] RATE of priviledged container activity","Priviledged container activity",0.025
"mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712","Privilege Escalation","TA0004","Cluster-admin binding","target_cluster-admin_binding","obf-1ccba6a5-ff26-4306-bd58-c652533540e6","ktech-1ccba6a5-ff26-4306-bd58-c652533540e6","DEFAULT","Custom Metric","Non-0 COUNT or [Jump in the] RATE of RBAC config and resource updates  (e.g. cluster role binding creation) ","RBAC config update activity",0.01
"mact-5e98f8ec-2cf0-495b-aa69-b1fc065079c0","Privilege Escalation","TA0004","hostPath mount","target_hostpath_mount","obf-b887aec6-ea88-49e3-b349-3c0797c4723d","ktech-b887aec6-ea88-49e3-b349-3c0797c4723d","DEFAULT","Custom Metric","Non-0 COUNT  or [Jump in the] RATE of POD/RecordSet/Deployment with config based profiling (e.g. inspect writable volume mounts PV claims)","Pods* with writable volume mount(s) activity",0.1
"mact-5e98f8ec-2cf0-495b-aa69-b1fc065079c0","Privilege Escalation","TA0004","Access cloud resources","target_access_cloud_resources","obf-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","ktech-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","DEFAULT","Custom Metric","Non-0 COUNT  or [Jump in the] RATE of CronJob activity with config based profiling (e.g. check RBAC + namespace bindings)","RBAC profiled CronJob activity",0.01
"mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712","Privilege Escalation","TA0004","Access cloud resources","target_access_cloud_resources","obf-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","ktech-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","DEFAULT","Custom Metric","Non-0 COUNT or [Jump in the] RATE of RBAC config and resource updates  (e.g. cluster role binding creation) ","RBAC config update activity",0.01
"mact-d107fce5-e2a0-4b56-bff9-30769a5e7452","Execution","TA0002","Exec into container","target_exec_into_container","obf-5163e382-6b2b-4cc8-bf47-22a2e1e8e346","ktech-5163e382-6b2b-4cc8-bf47-22a2e1e8e346","ENABLE kube-apiserver audit logging","Custom Metric","[Jump in the] RATE of pod/exec endpoint requests for impersonated users/source IPs","Pod exec request activity",0.01
"mact-26b34fef-27d0-4145-a138-15c4d63f03a2","Impact","TA0040","Denial of service","target_denial_of_service","obf-cce3dfde-fcbc-4972-b666-e50403edb23e","ktech-cce3dfde-fcbc-4972-b666-e50403edb23e","DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jitter in the] AGGR(IRATE of http request, client rest request) i.e. connectivity halt across kube-system namespace via kubelet-metrics","Connectivity jitter kubelet scope",0.02
"mact-8803367b-2158-4f0f-a964-dad3ee9c0333","Impact","TA0040","Resource hijacking","target_resource_hijacking","obf-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","ktech-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","DEFAULT","Custom Metric","Non-0 COUNT  or [Jump in the] RATE of POD/RecordSet/Deployment with config based profiling (e.g. check RBAC + namespace bindings)","RBAC profiled pod* create activity",0.01
"mact-3cfe4f2c-7d3b-4988-8bcd-b08b28c96e4e","Impact","TA0040","Resource hijacking","target_resource_hijacking","obf-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","ktech-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","ENABLE kube-apiserver audit logging","Custom Metric","[Jump in the]  AGGR(RATE of container activity + RATE of request errors) profiling known audited attacker attributes (e.g. increased rate of curl, wget, html guessing requests, net scanners/mappers, source IPs)","Profiled audit logging activity",0.001
"mact-d293cd5d-71c0-4403-bc24-b7e5039093f2","Impact","TA0040","Data destruction","target_data_destruction","obf-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","ktech-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","ENABLE kube-apiserver audit logging","Custom Metric","[Jump in the] RATE of k8s resource (pod*, config) and host mounted volume deletion ","Resource and data destruction",0.001
"mact-1c914936-6ec7-4c81-857d-dc2530b6d2bc","Persistence","TA0003","*Malicious admission controller","target_malicious_admission_controller","obf-5a728e27-6359-433e-b673-ab863b561427","ktech-5a728e27-6359-433e-b673-ab863b561427","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT  or [Jump in the] RATE of MutatingAdmissionWebhook creation","MutatingAdmissionWebhook activity",0.1
"mact-1825587b-af31-4297-8c8c-d9170f24ecd8","Persistence","TA0003","Kubernetes CronJob","target_kubernetes_cronjob","obf-4a67ed7a-7387-4ff4-a610-0060a02d2eb8","ktech-4a67ed7a-7387-4ff4-a610-0060a02d2eb8","DEFAULT","Custom Metric","Non-0 COUNT  or [Jump in the] RATE of CronJob activity with config based profiling (e.g. check RBAC + namespace bindings)","RBAC profiled CronJob activity",0.01
"mact-5e98f8ec-2cf0-495b-aa69-b1fc065079c0","Persistence","TA0003","Writable hostPath mount","target_writable_hostpath_mount","obf-e642da19-c9bb-47eb-85f9-3400d5376c57","ktech-e642da19-c9bb-47eb-85f9-3400d5376c57","DEFAULT","Custom Metric","Non-0 COUNT  or [Jump in the] RATE of POD/RecordSet/Deployment with config based profiling (e.g. inspect writable volume mounts PV claims)","Pods* with writable volume mount(s) activity",0.1
"mact-786f9e86-2215-4b03-8552-584b7a254816","Discovery","TA0007","Access Kubernetes dashboard","target_access_kubernetes_dashboard","obf-f0a70cc6-83e5-49e2-aa52-a3068c7304ef","ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef","DEFAULT","Custom Metric (OSS Scope)","Non-0 Count [or Jump in the] kubernetes-dashboard instance creation","k8s dashboard activity",0.01
"mact-00a371b8-7af7-422c-bc7a-0e5cb72fbbbc","Persistence","TA0003","Backdoor container","target_backdoor_container","obf-312017d6-1fbe-4ad1-abe5-97c411d6c9f7","ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7","DEFAULT","Custom Metric","Non-0 COUNT or [Jump in the] RATE of standalone (non-controller driven) POD creation","Non-controller pod* create activity",0.1
"mact-8803367b-2158-4f0f-a964-dad3ee9c0333","Persistence","TA0003","Backdoor container","target_backdoor_container","obf-312017d6-1fbe-4ad1-abe5-97c411d6c9f7","ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7","DEFAULT","Custom Metric","Non-0 COUNT  or [Jump in the] RATE of POD/RecordSet/Deployment with config based profiling (e.g. check RBAC + namespace bindings)","RBAC profiled pod* create activity",0.01
"mact-561a6e71-44cf-4b26-b73e-eeda2ce3bc4e","Initial Access","TA0001","Using cloud credentials","target_using_cloud_credentials","obf-6f14fa07-7cbf-4473-9ab3-d47864b7ed98","ktech-6f14fa07-7cbf-4473-9ab3-d47864b7ed98","ENABLE kube-apiserver audit logging","Custom Metric","[Jump in the] RATE of access for impersonated users/source IPs","Cloud user impersonation",0.001
"mact-638e19f0-fedc-4b45-9732-bef1ec7a4a17","Initial Access","TA0001","Compromised images in registry","target_compromised_images_in_registry","obf-40c10504-94ed-4e29-8caa-18eb049a7c0c","ktech-40c10504-94ed-4e29-8caa-18eb049a7c0c","DEFAULT [Repo Image Scanner]","Custom Metric","Non-0 COUNT of POD create event with image from other/blacklisted registry","Comprimised image count in container(s)",1
"mact-ccfce484-fa8e-44fc-b512-76e302b212a2","Initial Access","TA0001","Vulnerable application","target_vulnerable_application","obf-be003bad-fc60-4ba7-868d-194f909d4c4b","ktech-be003bad-fc60-4ba7-868d-194f909d4c4b","ENABLE kube-apiserver audit logging","Custom Metric","[Jump in the] RATE of service account or IP address creating pods, mounting hosts under preconfigured namespaces (i.e. kube-system, default), ","Create/mount activity in preconfigured netspaces",0.25
"mact-43e13ffb-e23f-4bbc-8879-c5f698b2c33e","Initial Access","TA0001","*Exposed sensitive interfaces","target_exposed_sensitive_interfaces","obf-e0117c66-e93b-4f5d-b484-1310c38f2fa1","ktech-e0117c66-e93b-4f5d-b484-1310c38f2fa1","DEFAULT","Custom Metric  (OSS Scope)","[Jump in the] RATE of access to exposed Apache NiFi, Kubeflow, Argo Workflows, Weave Scope, and the Kubernetes dashboard","Sensitive interface(s) exposed",0.01
"mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712","Credential Access","TA0006","List Kubernetes secrets","target_list_kubernetes_secrets","obf-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","ktech-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","DEFAULT","Custom Metric","Non-0 COUNT or [Jump in the] RATE of RBAC config and resource updates  (e.g. cluster role binding creation) ","RBAC config update activity",0.01
"mact-bf296e99-c642-4b30-b3fc-a925c203448d","Credential Access","TA0006","Mount service principal","target_mount_service_principal","obf-2480daf0-c14e-4db9-9adb-46b00df4da5e","ktech-2480daf0-c14e-4db9-9adb-46b00df4da5e","DEFAULT [HOST/CLOUD PROVIDER ACCESS]","Custom Metric","Non-0 COUNT  of writable volume mounts to Kubernetes Logs host locations ","Writable mount to k8s log location",0.01
"mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712","Credential Access","TA0006","Access container service account","target_access_container_service_account","obf-336f8b2c-71f1-47f6-b1c7-6e2b7b2d122d","ktech-336f8b2c-71f1-47f6-b1c7-6e2b7b2d122d","DEFAULT","Custom Metric","Non-0 COUNT or [Jump in the] RATE of RBAC config and resource updates  (e.g. cluster role binding creation) ","RBAC config update activity",0.01
"mact-9091ce1c-0357-4e2e-adf6-743c11384e8e","Credential Access","TA0006","Application credentials in configuration files","target_application_credentials_in_configuration_files","obf-9d9c9b98-5ab5-47e1-8392-892bc853a203","ktech-9d9c9b98-5ab5-47e1-8392-892bc853a203","DEFAULT","Custom Metric","Non-0 COUNT of POD/RecordSet/Deployment with config environment vars with credentials","Pod* config with credentials",1
"mact-1c914936-6ec7-4c81-857d-dc2530b6d2bc","Credential Access","TA0006","*Malicious admission controller","target_malicious_admission_controller","obf-5a728e27-6359-433e-b673-ab863b561427","ktech-5a728e27-6359-433e-b673-ab863b561427","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT  or [Jump in the] RATE of MutatingAdmissionWebhook creation","MutatingAdmissionWebhook activity",0.1
"mact-f7530e3d-cb4e-4e46-bdca-ef1f91b5e712","Lateral Movement","TA0008","Container service account","target_container_service_account","obf-9300e8ea-52e6-4368-82a2-42f8afd594e2","ktech-9300e8ea-52e6-4368-82a2-42f8afd594e2","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of RBAC config and resource updates  (e.g. cluster role binding creation) ","RBAC config update activity",0.01
"mact-8803367b-2158-4f0f-a964-dad3ee9c0333","Lateral Movement","TA0008","Container service account","target_container_service_account","obf-9300e8ea-52e6-4368-82a2-42f8afd594e2","ktech-9300e8ea-52e6-4368-82a2-42f8afd594e2","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT  or [Jump in the] RATE of POD/RecordSet/Deployment with config based profiling (e.g. check RBAC + namespace bindings)","RBAC profiled pod* create activity",0.01
"mact-b9c3da31-d6f4-4766-b310-936e92f3313c","Lateral Movement","TA0008","Cluster internal networking","target_cluster_internal_networking","obf-63d3ac25-85f8-4c5b-b2e2-cce25363560e","ktech-63d3ac25-85f8-4c5b-b2e2-cce25363560e","DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jump in the] AGGR(IRATE of network package + bytes received,  transmitted) cross container activity via cAdvisor","Cross-container/namespace activity",0.3
"mact-9a9885eb-589d-4836-8902-a2266e628652","Lateral Movement","TA0008","Cluster internal networking","target_cluster_internal_networking","obf-63d3ac25-85f8-4c5b-b2e2-cce25363560e","ktech-63d3ac25-85f8-4c5b-b2e2-cce25363560e","DEFAULT","Custom Metric  (OSS Scope)","Non-0 COUNT or [Jump in the] RATE of Network Policy config update","Network config update activity",0.001
"mact-9091ce1c-0357-4e2e-adf6-743c11384e8e","Lateral Movement","TA0008","Applications credentials in configuration files","target_applications_credentials_in_configuration_files","obf-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c","ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT of POD/RecordSet/Deployment with config environment vars with credentials","Pod* config with credentials",1
"mact-5e98f8ec-2cf0-495b-aa69-b1fc065079c0","Lateral Movement","TA0008","Writable volume mounts on the host","target_writable_volume_mounts_on_the_host","obf-d4286f4c-e286-48ca-a2d5-8f5089fff410","ktech-d4286f4c-e286-48ca-a2d5-8f5089fff410","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT  or [Jump in the] RATE of POD/RecordSet/Deployment with config based profiling (e.g. inspect writable volume mounts PV claims)","Pods* with writable volume mount(s) activity",0.1
"mact-ec4b2ad9-fbb8-4caf-bca1-1512e7f02e19","Lateral Movement","TA0008","CoreDNS poisoning","target_coredns_poisoning","obf-8c302563-5294-498c-95a4-b96daf9ed5e1","ktech-8c302563-5294-498c-95a4-b96daf9ed5e1","DEFAULT","Custom Metric (OSS Scope)","Non-0 COUNT of kube-system ConfigMap update for CoreDNS corefile.","ConfigMap corefile update",1
"mact-bf296e99-c642-4b30-b3fc-a925c203448d","Defense Evasion","TA0005","Clear container logs","target_clear_container_logs","obf-0c3de308-f0f5-44d8-a4a2-dd3d74452216","ktech-0c3de308-f0f5-44d8-a4a2-dd3d74452216","DEFAULT [HOST/CLOUD PROVIDER ACCESS]","Custom Metric","Non-0 COUNT  of writable volume mounts to Kubernetes Logs host locations ","Writable mount to k8s log location",0.01
"mact-bf296e99-c642-4b30-b3fc-a925c203448d","Defense Evasion","TA0005","Delete Kubernetes events","target_delete_kubernetes_events","obf-24660362-fa61-411c-9f82-8f6e107b1b2c","ktech-24660362-fa61-411c-9f82-8f6e107b1b2c","DEFAULT [HOST/CLOUD PROVIDER ACCESS]","Custom Metric","Non-0 COUNT  of writable volume mounts to Kubernetes Logs host locations ","Writable mount to k8s log location",0.01
"mact-00a371b8-7af7-422c-bc7a-0e5cb72fbbbc","Defense Evasion","TA0005","Pod / container name similarity","target_pod_container_name_similarity","obf-5e328d1a-c14d-4031-99c0-d107731563e3","ktech-5e328d1a-c14d-4031-99c0-d107731563e3","DEFAULT","Custom Metric","Non-0 COUNT or [Jump in the] RATE of standalone (non-controller driven) POD creation","Non-controller pod* create activity",0.1
"mact-cbf5c23d-2579-4dfd-b791-8cbe8a299467","Defense Evasion","TA0005","Pod / container name similarity","target_pod_container_name_similarity","obf-5e328d1a-c14d-4031-99c0-d107731563e3","ktech-5e328d1a-c14d-4031-99c0-d107731563e3","DEFAULT","Custom Metric","[Jump in the] RATE of same name/mimicked container/POD creation","Same-name, similar pod creation activity",0.2
"mact-3cfe4f2c-7d3b-4988-8bcd-b08b28c96e4e","Discovery","TA0007","Network mapping","target_network_mapping","obf-47087c4a-ac12-4f51-815a-233ac60b827c","ktech-47087c4a-ac12-4f51-815a-233ac60b827c","ENABLE kube-apiserver audit logging","Custom Metric (OSS Scope)","[Jump in the]  AGGR(RATE of container activity + RATE of request errors) profiling known audited attacker attributes (e.g. increased rate of curl, wget, html guessing requests, net scanners/mappers, source IPs)","Profiled audit logging activity",0.01
"mact-3cfe4f2c-7d3b-4988-8bcd-b08b28c96e4e","Discovery","TA0007","Access Kubelet API","target_access_kubelet_api","obf-e9238385-bcec-4866-9493-2fb6b9129c04","ktech-e9238385-bcec-4866-9493-2fb6b9129c04","ENABLE kube-apiserver audit logging","Custom Metric (OSS Scope)","[Jump in the]  AGGR(RATE of container activity + RATE of request errors) profiling known audited attacker attributes (e.g. increased rate of curl, wget, html guessing requests, net scanners/mappers, source IPs)","Profiled audit logging activity",0.01
"mact-3ee44709-485e-4daa-9824-87de6ffa2689","Discovery","TA0007","Access Kubelet API","target_access_kubelet_api","obf-e9238385-bcec-4866-9493-2fb6b9129c04","ktech-e9238385-bcec-4866-9493-2fb6b9129c04","DEFAULT","Kubernetes Metric (OSS Scope)","[Jump in the]  AGGR(RATE of container activity + RATE of request errors)","Container network activity with request errors ",0.2
"mact-3cfe4f2c-7d3b-4988-8bcd-b08b28c96e4e","Discovery","TA0007","Access the Kubernetes API server","target_access_the_kubernetes_api_server","obf-0c7a8541-1cf9-4cce-85d8-5824104289cf","ktech-0c7a8541-1cf9-4cce-85d8-5824104289cf","ENABLE kube-apiserver audit logging","Custom Metric (OSS Scope)","[Jump in the]  AGGR(RATE of container activity + RATE of request errors) profiling known audited attacker attributes (e.g. increased rate of curl, wget, html guessing requests, net scanners/mappers, source IPs)","Profiled audit logging activity",0.01
"mact-d9088728-947d-4dd0-a3d1-b7692ab3c9f1","Impact","TA0040","Denial of service","target_denial_of_service","obf-cce3dfde-fcbc-4972-b666-e50403edb23e","ktech-cce3dfde-fcbc-4972-b666-e50403edb23e","DEFAULT","Kubernetes Network Metric (SAAS/OSS Scope)","[Jump in the] AGGR(RATE  of http request, client rest request durations) i.e. latency across kube-system namespace via kubelet-metrics","Connectivity latency kubelet scope",0.02
